judul,penulis,dp1,dp2,abstrak
"RANCANG BANGUN GAME PEMBELAJARAN PENGENALAN
WARNA, BENTUK DAN HURUF MENGGUNAKAN COCOS2DX
FRAMEWORK", Zainal Mutaqqin," Arik Kurniawati,S.Kom.,M.T","Yonathan Ferry Hendrawan, ST., M.IT","Game flappy color merupakan salah satu game edukasi. game ini dapat membantu pemain dalam belajar mengenal warna, bentuk dan huruf. game flappy color ini menyerupai game flappy bird, akan tetapi dalam game flappy color ini terdapat fitur tambahan yaitu pengenalan warna, bentuk dan huruf. seiring perkembangannya game dapat kita jumpai dimana saja salah satu contoh yang popular saat ini adalah perangkat bergerak (smartphone) yang berbasis android. kehadiran android dapat digunakan sebagai media game, baik itu untuk membuat game maupun untuk bermain game. smartphone ini telah menjadi kebutuhan pokok bagi masyarakat, juga sangat praktis dan memiliki banyak fitur seperti aplikasi game dan lain-lain. pada penelitian ini, game flappy color dibangun dengan bahasa pemrograman c++ sedangkan media implementasinya adalah smartphone yang berbasis android. pengembangannya yang open source menjadikan banyak aplikasi dan game baru yang menjawab kebutuhan pengguna hal ini yang memicu penulis membuat aplikasi game yaitu “rancang bangun game pembelajaran pengenalan warna, bentuk dan huruf dengan cocos2d-x framework” di perangkat bergerak (smartphone). kata kunci : game edukasi, pengenalan warna, peengenalan bentuk, pengenalan huruf, android, cocos2dx framework."
SISTEM PENGAMBILAN KEPUTUSAN UNTUK PENJURUSAN PADA SMKN 1 LABANG MENGGUNAKAN METODE SMART, Hariyanto," Sigit Susanto Putro, S.Kom., M.Kom","Yoga Dwitya Pramudita, S.Kom., M.Cs","Smk negeri 1 labang selama ini dalam menentukan  jurusan masih menggunakan cara manual (belum terkomputerisasi) dengan parameter (nilai ijazah, nilai uan dan minat siswa) sehingga dalam penentuan jurusan membutuhkan waktu yang relatif lama dikarenakan banyaknya siswa yang mendaftar dan banyaknya parameter yang digunakan sehingga admin juga kesulitan dalam menentukan jurusan pada siswa yang sudah mendaftar yang susuai kriterianya. oleh karena itu dibutuhkan system pengambilan keputusan yang dapat membantu dalam menentukan penjurusan, dan sistem ini dibangun dengan perhitungan yang akurat dengan menggunakan metode smart sehingga akurasi perhitungan lebih terjamin. dari penelitian ini dapat dihasilkan akurasi pengambilan keputusan dengan akurasi sebesar 60%, sehingga hasil penilitian ini layak untuk di jadikan pilihan rekomendasi untuk  pengambilan keputusan. kata kunci :aplikasi penjurusan, metode smart"
"KLASIFIKASI SENTIMEN TINGKAT KETERTARIKAN PENGUNJUNG
TERHADAP ONLINE SHOP PADA TWITTER MENGGUNAKAN METODE
NAIVE BAYES
(Studi Kasus : @lazada, @tokopedia dan @bukalapak)", Utsfani Gardiana," Firdaus Solihin, S.Kom., M.Kom","Achmad Jauhari, S.T.,M.Kom","Twitter sebagai sarana untuk memasarkan produk secara online. bermodalkan foto dan caption yang menarik maka kemungkinan besar konsumen tertarik untuk membeli produk mereka. oleh karena itu diperlukan review terhadap onlineshop tersebut untuk mengetahui berapa banyak pengunjung yang datang. penelitian ini menggunakan 3 kategori, yaitu @lazada, @tokopedia dan @bukalapak. tujuan penelitian ini adalah untuk mengetahui tentang (1) jumlah pengunjung yang memberi komentar positif dan negatif. (2) hasil klasifikasi tingkat ketertarikan pengunjung menggunakan metode naive bayes dan (3) tingkat akurasi metode naive bayes dalam mengklasifikasikan tingkat ketertarikan pengunjung. hasil penelitian menunjukkan bahwa tingkat ketertarikan pengunjung pada @bukalapak adalah yang tertinggi dengan presentase 53,47% dengan jumlah komentar positif 470 dan negatif 1, @tokopedia memiliki persentase 42,77% dengan jumlah komentar positif 376 dan negatif 0, @lazada memiliki persentase 3,75% dengan jumlah komentar positif 33 dan negatif 1. tingkat akurasi metode naive bayes dalam mengklasifikasikan tingkat ketertarikan pengunjung 51,6% dengan eror rate 48,4%. kata kunci : sentimen, online shop, naive bayes."
DESAIN DAN IMPLEMENTASI OTENTIKASI PENGGUNA PADA JARINGAN WIRELESS MIKROTIK BERBASIS FREERADIUS DAN DALORADIUS PADA LABORATORIUM COMMON COMPUTING UNIVERSITAS TRUNOJOYO MADURA, Gunawan Fahmi," Dwi Kuswanto, S.Pd., M.T.","Yoga Dwitya Pramudita, S.Kom., M.Cs.","Semakin banyak pengguna perangkat mobile dalam menggunakan layanan internet berbasis wifi membuat semakin besar penggunaan sumber daya terhadap layanan wifi itu sendiri. karena itu dibutuhkan pengelolaan sumber daya yang tepat dalam menjalankan layanan wifi itu sendiri. karena itu dibutuhkan manajemen otentikasi pengguna pada jaringan wireless.  radius (remote authentication dial in user service ) adalah suatu protokol yang biasa digunakan untuk melakukan otentikasi, otorisasi, dan akunting terhadap pengguna layanan jaringan. pada penelitian ini dilakukan terhadap sistem otentikasi pengguna jaringan wireless menggunakan router mikrotik sebagai access point dan captive portal yang terhubung dengan aplikasi freeradius sebagai eksternal radius server  yang menggunakan backend mysql sebagai database penyimpanan data pengguna yang dipasang pada sistem operasi ubuntu. antarmuka yang digunakan untuk melakukan manajemen pengguna menggunakan aplikasi daloradius. sistem otentikasi pengguna berhasil dilakukan dengan menggunakan freeradius. dari hasil uji coba command ping terhadap pengguna yang berhasil terhubung jarak optimal pada jaringan wireless dicapai pada jarak tujuh meter menunjukkan mempunyai koneksi yang relatif stabil."
RANCANG BANGUN APLIKASI PENGOLAHAN NILAI RAPOR BERBASIS WEB PADA SEKOLAH MENENGAH KEJURUAN, JAKFAR," Sigit Susanto Putro, S.Kom., M.Kom","Yoga Dwitya Pramudita, S.Kom., M.Cs","Aplikasi pengolahan nilai rapor merupakan sauatu aplikasi yang memberikan informasi laporan keaktifan siswa yang berupa laporan nilai serta informasi siswa yang bersangkutan dengan berbasiskan komputerisasi, sehingga dapat membantu kecepatan dan kualitas dalam pengolahan nilai. permasalahan yang terjadi dalam pengolahan nilai rapor di smk agung mulia saat ini masih menggunakan microsoft excel, dimana penyimpanan datanya masih tersebar di setiap wali kelas dan guru mata pelajaran yang bersangkutan. selain itu, untuk memperoleh nilai akhir siswa harus menunggu data nilai yang ada pada guru yang bersangkutan, kemudian di rekap ulang oleh wali kelas. selain itu tingkat masalah yang ditimbulkan sistem ini sangat banyak. di antaranya adalah data-data nilai siswa tidak terdokumentasi dengan baik, data nilai yang tersimpan dalam file excel mudah di serang virus, dan factor lainnya yang menyebabkan file hilang dan rusak. untuk mengatasi masalah tersebut, dibutuhkan pengembangan aplikasi untuk membantu hal tersebut. salah satu pengembangannya adalah dengan menggunakan aplikasi pengolahan nilai rapor berbasis web. dari penelitian ini dapat di hasilkan proses kecepatan pengolahan data nilai sebesar 95.00%, dengan menerapkan sebuah aplikasi ini diharap mampu memproses data nilai yang begitu banyak dengan sangat cepat, serta keamanan data nilai siswa terjaga."
Pengembangan Intrusion Prevention system pada internet server berbasis Suricata dan IPtables, Rahmat Hidayat," Cucun Very Angkoso, S.T., M.T.","Dwi Kuswanto, S.Pd., M.T.","Keamanan jaringan sangat di perlukan untuk menjaga validitas dan integritas data pada server.dengan tuntutan tersebut diperlukan sistem yang mampu mengamankan jaringan. dalam penelitian ini intrusion prevention system yang berbasis suricata & iptables yang diintegrasikan dengan webui(user interface) diimplementasikan pada server. sebagai salah satu solusi menjaga keamanan jaringan. webui ini diharapkan dapat membantu administrator untuk mengawasi aliran jaringan yang menuju pada server. kinerja dari suricata dan webui, dapat dilihat dengan melakukan uji coba menggunakan tiga tools (superscan,nmap,nikto). ujicoba dilakukan sebanyak 50 kali percobaan penyusupan. dimana dari tiga tools (superscan,nmap,nikto)  tersebut di dapat sebuah hasil 890 alert tertinggi. alert yang di hasilkan oleh serangan/penyusupan dari tools nikto. dengan hasil tersebut dapat disimpulkan bahwa 80% sistem suricata dan webui mampu berjalan dengan baik  dengan mendeteksi dan mampu meberikan alert pada administrator."
"IDENTIFIKASI ACUTE LYMPHOBLASTIC
LEUKEMIA (ALL) MENGGUNAKAN KLASIFIKASI
NAIVE BAYES DAN FITUR GRAY LEVEL COOCCURENCE
(GLCM)", Cahya Aris Prasetyawan," Dr. Aris Muntasa, S.Si.,M.T.","Dr. Indah Agustien S.,S.Kom.,M.Kom.","Leukemia adalah kanker yang merusak darah dan sumsum tulang di mana sel-sel darah dibuat. ada empat jenis leukemia yaitu, acute myeloid leukemia (aml), acute lymphoblastic leukemia (all), chronic myeloid leukemia (cml), chronic lymphocytic leukemia (cll). cml dan aml umumnya terjadi pada orang dewasa sedangkan penyakit all umumnya terjadi pada anak-anak dan keganasannya berkembang dengan cepat. oleh karena keganasan penyakit all berkembang sangat cepat sedangkan untuk mendiagnosa dibutuhkan waktu yang lama maka diperlukan sistem yang mampu membantu patologi dalam mengenali jenis sel leukosit secara otomatis. tujuan awal sistem penelitian ini adalah mengidentifikasi penyakit all dengan melakukan segmentasi otsu tresholding untuk memisahkan sel darah putih. proses selanjutnya yaitu ekstraksi fitur dengan menggunakan fitur gray level co-occurance matrix (glcm) dan fitur color co-occurrence matrix (ccm). sedangkan untuk klasifikasinya menggunakan klasifikasi naive bayes. penelitian difokuskan pada jenis penyakit all untuk membantu mengidentifikasi dengan cepat. akurasi tertinggi terjadi pada skenario berdasarkan fitur glcm kuantisasi 2bit sebesar 94,1%, sedangkan berdasarkan fitur ccm akurasi tertinggi sebesar 81,5%. jadi, dalam kasus ini metode glcm lebih cocok dari pada metode ccm."
OPINION MINING TERHADAP KEBIJAKAN PUBLIK DARI TWITTER MENGGUNAKAN PRINCIPAL COMPONENT ANALYSIS DAN EXPECTATION MAXIMIZATION, Mita Suryaningsih," Mula’ab, S.Si., M.Kom.","Moch. Kautsar Sophan, S.Kom., M.MT.","Jejaring sosial adalah sebuah tempat yang mudah dituju para pengguna internet dalam menyampaikan pendapatnya. maka dari itu, media sosial twitter menjadi salah satu lahan adanya kumpulan informasi dan opini masyarakat seperti halnya tentang peraturan atau kebijakan yang menuai pro dan kontra. studi kasus yang digunakan adalah tentang masalah penghapusan subsidi listrik oleh pemerintah. untuk mengevaluasi respon masyarakat tentang kebijakan tersebut maka perlu adanya pemanfaatan opinion mining.  opinion mining adalah teknik untuk menganalisa opini pada suatu teks. dalam hal ini,  pengelompokkan opini akan menggunakan metode expectation maximization yang mampu mengklasifikasikan sebuah pendapat berdasarkan kelas yang sudah ditentukan, yakni positif dan negatif. opinion mining ini akan disertai pca  (principle  component  analysis)  sebagai  pereduksi  dimensi  tweets dengan tujuan untuk penyederhanaan data yang muncul dari data utama dengan tetap mempertahankan ciri khas yang terkandung di dalamnya.  pengujian  memakai  165 tweets yang akan dibagi menjadi  dua,  yaitu  55  data untuk testing dan 110 data untuk dijadikan  training. pada hasil skenario terbaik, akurasi dari pengujian  opinion mining dengan memanfaatkan metode principle  component  analysis dan  expectation  maximization  adalah sebesar 82%. kata kunci : klasifikasi, expectation maximization, principle  component  analysis."
MENILAI KINERJA TEKNIK REDUKSI DIMENSI PCA PADA ANALISIS OPINI MASYARAKAT BERBASIS DATA TWITTER MENGGUNAKAN METODE NAÏVE BAYES CLASIFIER, Fajar April Budiastio," Mula'ab S.Si., M.Kom","Firdaus Solihin S.Kom., M.Kom","Abstrak  twitter merupakan media sosial yang sering digunakan penggunanya untuk menulis hal –hal atau opini  - opini yang membahas isu yang terjadi pada saat ini. twitter juga menjadi sarana bagi pemerintah sebagai penentuan kepuasan terhadap kebijakan yang telah dibuat. kebijakan ekonomi adalah topik yang dibahas pada penelitian ini. maka dari itu pemanfaatan media sosial inilah untuk mengetahui respon masyarakat terhadap kebijakan ekonomi yang dibuat. sentiment analysis dibuat guna dapat mengklasifikasikan opini positif ataupun negatif secara ceapt dan tepat. guna meningkatkan performa dan mengurangi kinerja komputasi maka digunakanlah reduksi dimensi menggunakan pca (principal component aalysis) dengan mengurangi dimensi dan tetap mempertahankan variasi data yang ada. untuk melakukan pengujian menggunakan data sejumlah 135 data tweet  untuk data training dan 136 data tweet sebagai data testing. pengujian klasifikasi dengan metode naïve bayes clasifier menghasilkan akurasi sebesar 59% . kata kunci : twitter, sentiment analysis, pca, naïve bayes classifier"
RANCANG BANGUN APLIKASI PEMBELAJARAN BAHASA MADURA, Faridatul Jannah," Achmad jauhari, S.T., M.Kom","Sigit Susanto Putro, S.Kom., M.Kom","Teknologi informasi yang berkembang dengan cepat, menjadikan kebutuhan akan suatu konsep dan mekanisme belajar mengajar (pendidikan) berbasis ti menjadi sangat dibutuhkan. hal ini menjadikan pembelajaran e-learning  menjadi salah satu alternatif untuk media pembelajaran. begitu juga dengan pelajaran bahasa madura perlu pembelajaran berbasis teknologi . maka dari itu, peneliti merancang dan membangun aplikasi pembelajaran bahasa madura untuk meningkatkan minat siswa belajar bahasa madura. aplikasi ini dibangun menggunakan bahasa pemrograman web php,database mysql, dan animasi berbasis flash. data diperoleh melalui kuisioner. data dianalisis secara deskriptif menggunakan tabel dan prosentase. hasil penelitian menunjukkan bahwa aplikasi ini dapat membanttu siswa dalam belajar bahasa madura sebesar 90%. dan 70% siswa menyatakan aplikasi ini mudah untuk digunakan. dan  80% tampilan aplikasi ini menarik. kesesuaian materi diaplikasi ini sebesar 45% , hal ini berarti materi aplikasi ini perlu diseusaikan. dan 70% aplikasi ini dapat meningkatkan minat siswa dalam belajar bahasa madura.  kata kunci : media pembelajaran, pembelajaran bahasa madura, e-learning"
PERANCANGAN APLIKASI PEMBELAJARAN RAGAM BUDAYA INDONESIA, ANINDHITA REZKI SETAWATI," ACHMAD JAUHARI, S.T., M.KOM","SIGIT SUSANTO PUTRO, S.KOM., M.KOM","Memanfaatkan keunikan indonesia yang memiliki berbagai macam kebudayaan dan juga teknologi untuk mengakses suatu informasi secara cepat,akurat dan fleksibel. dengan adanya aplikasi ragam budaya ini proses pencarian informasi mengenai kebudayaan tidak lagi hanya dengan membeli buku, namun sudah bisa dikases dengan dukungan internet. pembuatan aplikasi ragam budaya ini menggunakan bahasa pemrograman php dan sebagai aplikasi pendukung lainnya yaitu flash. hasil dari penelitian menunjukkan bahwa aplikasi pembelajaran ini sangat membantu masyarakat dalam memahami keragaman budaya indonesia sebanyak 72% dan 68% menyatakan bahwa tampilan secara keseluruhan pada aplikasi baik serta memotivasi masyarakat sebanyak 56% untuk mencoba mempelajari tentang ragam budaya indonesia.  kata kunci :  indonesia, budaya, aplikasi pembelajaran, php"
"Sistem Penerimaan Bantuan Langsung Tunai (BLT) Terhadap
Masyarakat Nelayan Pesisir Pengaruh Kenaikan Harga Bbm
Dengan Menggunakan Metode AHP (Analytical Hierarchy Process)", Musyarofah," Moch. Kautsar Sophan., S.Kom., M.MT","Sigit Susanto Putro., S.Kom., M.Kom","Bantuan langsung tunai (blt) merupakan suatu bentuk bantuan dari pemerintah sebagai bentuk kompensasi dari kenaikan harga bahan bakar minyak (bbm), yang tentunya mengimbas kepada kehidupan masyarakat luas termasuk kalangan masyarakat kurang mampu. salah satu kelompok masyarakat kecamatan kwanyar yang memperoleh dampak langsung dari kenaikan harga bbm adalah masyarakat nelayan pesisir. namun proses penilaian penerimaan blt pada kecamatan kwanyar selama ini masih menggunakan cara manual dan penilaian masih bersifat subjektif. sehingga memperlambat kerja kecamatan kwanyar dan dihawatirkan menimbulkan ketidaktepatan dalam memilih warga yang benar-benar membutuhkan bantuan. maka penelitian ini menghasilkan sebuah sistem pendukung keputusan penerimaan blt terhadap masyarakat nelayan berdasarkan kriteria yang telah ditetapkan yaitu : pekerjaan sampingan, jumlah tanggungan, luas tanah, luas bangunan, tagihan listrik dengan menggunakan metode analytical hierarchy process (ahp) yang dikembangkan oleh thomas l. saaty melalui proses uji sistem dengan menggunakan kalkulasi yang sudah ada sehingga hasilnya lebih akurat, transparansi dan sistem yang dirancang tersusun secara sistematis. berdasarkan hasil uji coba sistem yang dilakukan dapat diketahui bahwa menggunakan metode ahp untuk menilai penerima blt yaitu dari jumlah data nelayan sebanyak 56 penerima blt dan 41 merupakan banyaknya data nelayan yang telah sesuai atau benar antara hasil dinas secara manual dengan hasil metode ahp dengan memberi nilai bobot yang berbeda setiap kriteria maka hasil akurasinya adalah 82.143%"
CLUSTERING BERITA OLAHRAGA BERBAHASA INDONESIA MENGGUNAKAN METODE K-MEDOID BERSYARAT, Ach. Yasir Rofiqi," Sigit Susanto Putro, S.Kom, M.Kom","Yoga Dwitya Pramudita, S.Kom, M.Cs","Berita merupakan fakta ataupun opini yang membuat banyak orang merasa tertarik untuk mengetahuinya. berita olahraga merupakan salah satu berita yang memiliki rating pengaksesan cukup tinggi. berita olahraga memiliki berbagai cabang seperti bola, raket, balap dan lain-lain. oleh karena itu, berita olahraga memerlukan pengelompokkan berita. pengelompokan dilakukan dengan tujuan agar berita tersebut terhimpun menjadi suatu kelompok sesuai dengan kesamaan berita. pengelompokan dapat dilakukan dengan berbagai metode. salah satu metode yang digunakan adalah k-medoid. k-medoid merupakan metode pengelompokkan yang bekerja secara optimal untuk mengelompokkan berita olahraga dalam jumlah yang sedikit. setelah semua berita dikelompokkan sesuai dengan kemiripannya, hasil pengelompokkan tersebut perlu diukur nilai akurasinya. pada saat uji coba dilakukan menghasilkan nilai akurasi sebesar 0,584 dengan jumlah cluster yang dinputkan sebanyak lima cluster. perbaikan metode k-medoid dengan menambahkan metode cosine similarity mampu meningkatkan nilai akurasi yang semula rata-rata 0,44 bertambah optimal menjadi 0,55."
RANCANG BANGUN APLIKASI PENCATAT STATISTIK PERTANDINGAN BULUTANGKIS SECARA REALTIME DENGAN MENGGUNAKANAJAX JQUERY, Ferdian Hermanto," Sigit Susanto Putro, S.Kom., M.Kom","Yoga Dwitya Pramudita, S.Kom., M.CS","Data statistik pada pertandingan bulutangkis dapat menunjukkan performa seorang pemain yang bertanding. data stastistik bulutangkis yang ada pada saat ini hanya menampilkan penghitungan skor saja tanpa dapat menganalisa data statistik mengenai kemampuan performa seorang pemain. pencatatan pada moment yang terjadi dalam pertandingan tersebut masih dilakukan dengan menggunakan kertas dan pensil. sehingga tidak bisa menyajikan data statistik secara realtime. oleh karena itu diperlukan sebuah sistem yang dapat mencatat dan menganalisa performa seorang pemain.  jenis pukulan yang dicatat adalah servis, smash, lob, dropshot, netting, drive,bachand, return smash dan pukulan akrobatik. dengan adanya penelitian ini menghasilkan suatu aplikasi yang dapat menampilkan skor pertandingan sekaligus dapat menganalisa efektifitas dan akurasi jenis pukulan secara realtime. berdasarkan pengujian didapat kecepatan aplikasi dalam merekam jenis pukulan mampu merekam 2 pukulan perdetik. "
SMART HOME MONITORING SYSTEM IOT PADA PERANGKAT BERGERAK ANDROID MENGGUNAKAN RASPBERRY PI DAN PIR SENSOR, Dewi Ratih Pascarini," Cucun Very Angkoso, S.T., MT.","Koko Joni, S.T., M.Eng.","Di jaman sekarang ini masyarakat lebih mementingkan status derajat ekonomi. sebagian dari masyarakat menghabiskan waktunya untuk bekerja demi meningkatkan status ekonomi tersebut. hal ini membuat masyarakat lebih menyukai teknologi yang serba cepat dan otomatis. melihat tren yang berkembang di masyarakat tersebut, pada penelitian ini sistem yang dikembangkan menggunakan teknologi internet of things. sistem ini menggunakan raspberry pi sebagai microcontroller, berfungsi untuk pengontrol turn on / off led pada halaman depan dan belakang. juga led dapat menyala dan mati otomatis sesuai dengan waktu yang sudah diatur oleh user. pada sistem ini juga menggunakan pi camera 5 megapixel, pir sensor yang digunakan mendeteksi gerak dan mengambil gambar saat terjadi pergerakan. kedua sistem tersebut berhasil dibuat dan tidak ditemukan adanya error pada sistem dengan menerapkan beberapa proses uji, pada led control proses uji dilakukan dengan menjalankan aplikasi led pada android merk infinix x551. pada sistem kedua yaitu capture motion proses uji dilakukan dengan menggunakan bahan uji human dan tumbuhan dalam kondisi pagi, siang, malam dan mengukur kecepatan waktu sending. dari semua uji coba yang dilakukan dapat disimpulkan bahwa pada sistem kontrol led, led dapat menyala ketika button on ditekan dan mati ketika button off ditekan. pada sistem kedua pir sensor dapat mendeteksi gerakan manusia dalam semua kondisi dan dapat mengirim gambar ke email dengan waktu sending paling cepat 4 detik dan paling lama 7 detik.   kata kunci : internet of things, raspberry pi, smart home, pir sensor"
Klasifikasi Penyakit Diabetes Retinopati menggunakan Metode GLRLM ( Gray Level Run Lenght Matrix) LVQ (Learning Vector Equantization), Intan Fauziah," Dr. Indah Agustien S., S. Kom,M .Kom","Dr. Arif Muntasa, S. Si., M.T","Abstraksi diabetic retinopathy merupakan penyakit yang diakibatkan oleh komplikasi dari penyakit diabetes mellitus. diabetic retinopathy dapat menyebabkan kerusakan mata dan apabila tidak ditangani dengan tepat dapat menyebabkan kerusakan permanen. penyakit diabetic retinopathy menyebabkan kerusakan pada retina mata bagian pembuluh darah. untuk mengetahui penderita mengalami penyakit ini di butuhkan maka dibutuhkan system yang dapat menganalisa informasi pada citra. maka dari itu diperlukan adanya penelitian klasifikasi diabetic retinopathy untuk analisa citra fundus mata. tugas akhir ini menggunakan metode gray level run length matrix (glrlm) sebagai metode ekstraksi fitur dan metode learning vector quantization (lvq) sebagai klasifikasinya. terdapat tiga langkah proses dalam klasifikasi penelitian ini. proses pertama dengan mengubah citra asli menjadi grayscale, kemudian dilakukan masking overlay yaitu mengeliminasi blood vessel pada citra grayscale dengan hasil proses segmentasi. langkah kedua adalah ekstraksi fitur dengan menggunakan metode glrlm. proses terakhir yaitu klasifikasi fase dengan menggunakan learning vector quantization (lvq). pengujian akan dilakukan terhadap database . berdasarkan hasil penelitian danpengujian terhadap sistem, maka didapatkan tingkat akurasi tertinggi sebesar 48.3333%. kata kunci : diabetic retinopathy, gray level run length matrix, learning vector quantization"
IMPLEMENTASI ALGORITMA STEGANOGRAFI WHITESPACE DAN ENKRIPSI RC6 UNTUK KEAMANAN PADA TEKS, , ,,
"APLIKASI TATA KELOLA ADMINISTRASI PENDUDUK BERBASIS
HIRARCHICAL MODEL VIEW CONTROLLER
(Implementasi Peraturan Menteri Dalam Negeri No 47 Tahun 2016)", Ivan Iswahyudi," Mula’ab,S.Si.,M.Kom","Wahyudi Agustiono,S.Kom.,M.Sc,.Ph.D","Kegiatan pencatatan data administrasi penduduk oleh pemerintahan desa sering dihadapi masalah seperti, hilangnya data, pengisian data yang salah, dan sulitnya proses pencarian data. hal ini dikarenakan proses pencatatanya dibagi dalam lima buku yaitu, buku induk penduduk, buku mutasi penduduk desa, buku rekapitulasi jumlah penduduk, buku penduduk sementara; dan buku kartu tanda penduduk dan buku kartu keluarga, serta dalam pengelolaanya selama ini, masih menggunakan cara manual. untuk mengatasi masalah tersebut, diperlukan sebuah aplikasi yang dapat mengatasi permasalahan dan kerumitan dalam proses pencatatan administrasi penduduk. teknologi/konsep hierarchical model view controller dipilih, karena mempermudah dalam pengembangan aplikasi dan penyatuan dari beberapa buku administrasi penduduk, berdasarkan permendagri no. 47 tahun 2016. penerapan hmvc tersusun dari beberapa modul mvc. pada administrasi penduduk konsep hierarchical diterapakan pada setiap sub buku administrasi penduduk, dimana dalam sub terdapat konsep mvc. dari ujicoba aplikasi pengelolaan administrasi penduduk, berbasis hmvc didapat kesimpulan, bahwa aplikasi ini, sesuai dengan permendagri no. 47 tahun 2016 dalam penerapan konsep hmvc. sehingga, mempermudah proses administrasi penduduk dan pengembangan aplikasi kedepannya."
"APLIKASI TATA KELOLA ADMINISTRASI UMUM BERBASIS HIRARCHICAL MODEL VIEW CONTROLLER
 (Implementasi Peraturan Menteri Dalam Negeri No 47 Tahun 2016)", Abdul Suroso," Mula’ab,S.Si.,M.Kom","Eza Rahmanita, S.T., M.T","Dalam pengelolaan administrasi umum masih ditemui beberapa masalah seperti hilangnya data, ketika input data, dan sulitnya ketika melakukan pencarian data. hal ini di karenakan pencatatan datanya masih menggunakan cara manual. dari masalah-masalah yang ada di administrasi umum, perlu adanya aplikasi agar masalah tersebut dapat teratasi.  untuk mempermudah pengembangan dan penggabungan buku-buku dalam administrasi umum, aplikasi ini menggunakan konsep hierarchical model view controller. penerapan hmvc membuat aplikasi menjadi lebih modular karena tersusun dari modul-modul mvc untuk setiap buku. dari hasil ujicoba aplikasi pengelolaan administrasi umum dengan menggunakan hmvc didapat kesimpulan, bahwa aplikasi ini sesuai dengan standart user dan standart developer. sehingga, aplikasi ini mempermudah pengelolaan administrasi umum dan dengan hmvc mempermudah pengembangan aplikasi."
"APLIKASI TATA KELOLA ADMINISTRASI PEMBANGUNAN BERBASIS HIRARCHICAL MODEL VIEW CONTROLLER
 (Implementasi Peraturan Menteri Dalam Negeri No 47 Tahun 2016)
", Indra Dwi Kusuma," Mula’ab,S.Si.,M.Kom,","Eza Rahmanita, S.T., M.T.","Pengembangan aplikasi administrasi desa dilakukan oleh beberapa orang, sehingga muncul kesulitan saat dilakukan penggabungan administrasi satu dan administrasi lainnya. teknologi/konsep hierarchical model view controller dipilih, karena mempermudah dalam pengembangan aplikasi dan penyatuan dari beberapa buku administrasi pembangunan desa, berdasarkan permendagri no. 47 tahun 2016. penerapan hierarchical model view controller tersusun dari beberapa modul model view controller. pada administrasi pembangunan konsep hierarchical diterapakan pada setiap sub buku administrasi pembangunan, dimana dalam setiap sub terdapat konsep model view controller. dari ujicoba aplikasi pengelolaan administrasi pembangunan desa, berbasis hierarchical model view controller didapat kesimpulan, bahwa aplikasi ini sesuai dengan standart user maupun standart developer dan penerapan hmvc (hierarchical model view controller) pada aplikasi ini mempermudah pengembangan aplikasi kedepannya dan proses administrasi pembangunan desa."
, Annisa Ulfa, Firdaus Solihin,Ach Khozaimi,
IMPLEMENTASI METODE SERVQUAL DAN SAW UNTUK ANALISA KEPUASAN PASIEN BERDASARKAN KUALITAS PELAYANAN POLI RAWAT JALAN, R Siti Isnaniyah," Sigit Susanto Putro, S.Kom., M.Kom.","Eza Rahmanita, S.T., M.T.",-
Penentuan Penerima Beasiswa Menggunakan Metode SAW dan TOPSIS, Reny Pujiastutik," Sigit Susanto Putro S.Kom., M.Kom.","Eza Rahmanita S.T., M.T.","Contoh pemberian beasiswa yang tidak tepat sasaran adalah pemberian beasiswa kepada mahasiswa yang memiliki kerabat dekat dengan pihak kampus beasiswa walaupun tidak memenuhi prasyarat. oleh karena itu supaya hal tersebut tidak terjadi perlu dibuat sebuah sistem penentuan penerima beasiswa dengan harapan dapat memilih penerima beasiswa secara lebih akurat dan tepat sasaran, serta dapat memaksimalkan waktu dalam proses pemilihan. sistem ini menerapkan penggabungan metode saw dan topsis sebagai solusi pendukung pengambil keputusan dan diharapkan dapat menentukan alternatif terbaik berdasarkan kriteria-kriteria yang telah ditentukan yakni : ipk, penghasilan orangtua, jumlah tanggungan orangtua, tunggakan biaya kuliah, semester, prestasi/organisasi. dari hasil uji coba yang telah dilakukan menghasilkan nilai akurasi rata-rata selama lima tahun data percobaan dengan metode saw dan topsis adalah 88,4%, serta sistem ini dapat memproses 73,2% lebih cepat dibandingkan dengan perhitungan manual atau setara dengan 6 sampai 8 hari."
